34. CHEMICAL,40. CLASSIFICATION,41. METAL,43. CARCINOGEN,44. PBT,45. PFAS,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,88. 6.2 - M26,91. OFF-SITE RECYCLED TOTAL,94. OFF-SITE ENERGY RECOVERY T,101. OFF-SITE TREATED TOTAL,103. 6.2 - TOTAL TRANSFER
Hexachlorophene,TRI,NO,NO,NO,NO,Pounds,5.314,2.04,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,19007.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,143.0,190.0
Hexafluoropropylene oxide dimer acid,TRI,NO,NO,NO,YES,Pounds,11.1,52.5,0.48,0.0,3188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3252.08,0.0,0.0,0.0,3405.0,0.0,0.0,0.0,0.0,0.0,0.0,10142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9275.0,22852.0
Hexafluoropropylene oxide dimer acid ammonium salt,TRI,NO,NO,NO,YES,Pounds,2.0,145.0,672.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174912.0,174912.0,0.0,123642.9258,298554.9258
Hexazinone,TRI,NO,NO,NO,NO,Pounds,5.0,69.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,532.0,364.0,1688.0
Hydramethylnon,TRI,NO,NO,NO,NO,Pounds,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23691.0,23691.0
Hydrazine,TRI,NO,YES,NO,NO,Pounds,3050.592,65.870288,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3249.462288,266.0,1484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.8,0.0,11145.32,11439.96
Hydrazine sulfate (1:1),TRI,NO,YES,NO,NO,Pounds,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",TRI,NO,NO,NO,NO,Pounds,808540.993,23645374.616708,0.0,0.0,0.0,0.0,0.0,0.0,6972.0,0.0,0.0,0.0,0.0,28579.0,24489466.609708,0.0,0.0,0.0,677.94,0.0,0.0,0.0,663.06,0.0,17923.46,7247.0,0.0,0.0,37.0,0.0,9374.0,81305.03,86801.03,14746.5,235629.07,381978.15
Hydrogen cyanide,TRI,NO,NO,NO,NO,Pounds,145607.51,5149977.1559,839.45,0.0,611772.0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,5908518.1159,2489.28,2.7,0.0,8504.01,1362.753,0.0,0.0,0.0,0.0,9646.000002,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40408.0,28122.769999999997,90534.813002
Hydrogen fluoride,TRI,NO,NO,NO,NO,Pounds,1691531.021,7772332.344,351.4,0.0,359657.0,0.0,0.0,143352.058023,26000000.0,0.0,0.0,0.0,1892769.0,17513.7,37877506.523023,88365.02,948.0,0.0,198066.45,0.0,0.0,0.0,0.0,0.0,74968.12999999999,74870.526,0.0,0.0,20374.37,167374.22,8957.92,5980.05,14285.05,11241.7,1611913.4725,2270666.8585
Hydrogen sulfide,TRI,NO,NO,NO,NO,Pounds,7780870.442969,9614356.1819,374352.27,0.0,9335816.0,0.0,0.0,17371.0,13297.9984,15728.36,0.0,0.0,243135.77,27775.343999999997,27422703.367269,11214.07,243658.88,0.0,3781.54,0.0,0.0,0.0,0.0,0.0,3961.48,23.9,10149.68,0.0,34180.31,103.5,33.0,18407878.0,18407891.619999997,210465.899,55996039.686009996,74716610.68501
Hydroquinone,TRI,NO,NO,NO,NO,Pounds,2153.003453,14917.194449999999,4996.0,0.0,322365.0,0.0,0.0,41041.97,16.0,0.0,0.0,0.0,0.0,0.0,385489.167903,30214.72,30219.78,0.0,6731.008,0.0,0.0,0.0,0.0,1.0,627.4721,28948.7829,0.0,0.0,5.0,0.0,0.0,1586.0,1586.0,1236499.7969,528055.5725,1841369.3524
Iron pentacarbonyl,TRI,NO,NO,NO,NO,Pounds,4647.0,9614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,298.0
Isobutyraldehyde,TRI,NO,NO,NO,NO,Pounds,52216.3,39316.85,22.0,0.0,102444.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,194181.15,210.42000000000002,2127.58,0.0,110495.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,2725.0,0.0,0.0,2163.0,2163.0,67100.0,62269.130000000005,244991.55
Isodrin,PBT,NO,NO,YES,NO,Pounds,0.2,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isoprene,TRI,NO,YES,NO,NO,Pounds,99804.23479999999,87557.0648,518.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,187879.6496,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3382.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.6,1709.6,1649.49,168394.95,182132.04
