Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
Acrolein,NO,NO,NO,NO,Pounds,330340.107,581.61,0.0,10050.0,0.0,0.0,1091.0
Acrylamide,NO,YES,NO,NO,Pounds,40728.777,49.0,161727.15899999999,5343988.045,1146.0,0.0,55.3544
Acrylic acid,NO,NO,NO,NO,Pounds,277555.80274,7001.0,397028.2268,1150928.073,767.0,0.0,160065.78
Acrylonitrile,NO,YES,NO,NO,Pounds,293212.372,107.84,14558.065,7450454.059,9.0,0.0,287.45
Alachlor,NO,NO,NO,NO,Pounds,0.013,0.0,9.035,0.032,0.0,0.0,0.0
"Alcohols, C8-14, γ-ω-perfluoro",NO,NO,NO,YES,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldicarb,NO,NO,NO,NO,Pounds,3.0,0.0,18000.0,0.0,0.0,0.0,0.0
Aldrin,NO,NO,YES,NO,Pounds,2.3301,0.0,1038.09,0.0,0.0,0.0,4.0
Allyl alcohol,NO,NO,NO,NO,Pounds,46029.935,13991.49,404247.008,276509.007,0.0,0.0,0.0
Allyl chloride,NO,NO,NO,NO,Pounds,21999.440000000002,10.0,0.0,0.0,0.0,0.0,5144.0
Allylamine,NO,NO,NO,NO,Pounds,1267.2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminum (fume or dust),NO,NO,NO,NO,Pounds,758028.3214969999,0.0,7163342.676497,0.0,0.0,5.0,81668841.726
Aluminum oxide (fibrous forms),NO,NO,NO,NO,Pounds,7482.972836,155.25,5426507.817484,0.0,386346.0,0.0,2990700.0
Aluminum phosphide,NO,NO,NO,NO,Pounds,21236.6,0.0,0.0,0.0,0.0,0.0,0.0
Ametryn,NO,NO,NO,NO,Pounds,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Amitrole,NO,YES,NO,NO,Pounds,3.024,0.0,19000.0,0.0,0.0,0.0,0.0
Ammonia,NO,NO,NO,NO,Pounds,133472507.18806699,4307584.5399,1361290.7264999999,28519578.354999997,1594868.444,1935904.614,3339365.09
Aniline,NO,NO,NO,NO,Pounds,56225.1827,367.0,343.024,2757394.542,0.0,0.0,1390.95
Anthracene,NO,NO,NO,NO,Pounds,8079.686798,319.766,31952.4614,267.128,1.0,3.0,65319.971
Antimony,YES,NO,NO,NO,Pounds,1338.6531,209.356,404795.36,0.0,0.0,0.0,1364941.82155
Antimony  And Antimony Compounds,YES,NO,NO,NO,Pounds,9667.466533,2333.0119,2076947.855485,7617.0,0.0,90226.0,1686985.6934
Antimony compounds,YES,NO,NO,NO,Pounds,13252.914992999999,3430.093925,443299.304,11597.0,33.0,4901891.1844,820726.397
Arsenic,YES,YES,NO,NO,Pounds,175.157987,5084.619,433625.1777,0.5,0.0,235679.310099,118159.11103
Arsenic  And Arsenic Compounds,YES,NO,NO,NO,Pounds,15172.2388,760.11504,1399622.4144899999,139757.56,80150.022,69020.17,106629.4086
Arsenic compounds,YES,NO,NO,NO,Pounds,25680.704,11016.956,1695018.6960000002,261.0,31010.5,65563107.0,18596.94
Asbestos (friable),NO,YES,NO,NO,Pounds,2235.118843,0.0,12922047.65,0.0,0.0,0.0,0.0
Atrazine,NO,NO,NO,NO,Pounds,32902.1052,54.86,802369.749,0.008,263755.0,0.0,37.0
Barium,NO,NO,NO,NO,Pounds,3590.501489,1880.44,1119197.8938300002,13.02,0.0,955.540496,17583.3655
Barium  And Barium Compounds,NO,NO,NO,NO,Pounds,332363.348559,146770.6519,41766238.74953999,32377.0,337621.16000000003,2268759.82,2159102.4989
Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),NO,NO,NO,NO,Pounds,345482.010292,267411.056842,63503100.067999996,35514.0,582678.605,13418002.598,1992980.43
Bendiocarb,NO,NO,NO,NO,Pounds,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Benfluralin,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benomyl,NO,NO,NO,NO,Pounds,9.37,0.0,0.0,0.0,0.0,0.0,0.0
Benzal chloride,NO,NO,NO,NO,Pounds,174.423,0.0,0.0,0.0,0.0,0.0,0.0
Benzene,NO,YES,NO,NO,Pounds,2878597.77545,3458.67626,70713.720177,253910.34552,790.8841,563.6,354548.64733
Benzidine,NO,YES,NO,NO,Pounds,3.0109999999999997,0.0,0.0,0.0,0.0,0.0,0.0
"Benzo[g,h,i]perylene",NO,NO,YES,NO,Pounds,8997.078701999999,193.806316,16579.953877,284.474,180.67520000000002,175.8644,15219.229956
Benzoic trichloride,NO,YES,NO,NO,Pounds,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
Benzoyl chloride,NO,NO,NO,NO,Pounds,3142.530551,5.0,0.0,0.0,0.0,0.0,0.6714
Benzoyl peroxide,NO,NO,NO,NO,Pounds,936.242,0.0,1056.006,0.005,0.0,0.0,8520.0
Benzyl chloride,NO,NO,NO,NO,Pounds,3910.8973,8.0,26037.067600000002,0.0,0.0,0.0,0.0
